,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
290,buala,-8.14,159.59,80.98,80,77,8.99,SB,1593809976
291,banda aceh,5.56,95.32,80.8,80,91,5.95,ID,1593809976
292,cairns,-16.92,145.77,69.8,77,18,12.75,AU,1593809930
293,san quintin,30.48,-115.95,74.86,57,1,15.52,MX,1593809977
294,asgabat,37.95,58.38,73.4,25,0,4.7,TM,1593809977
295,bogalusa,30.79,-89.85,86.0,74,1,5.82,US,1593809977
296,glenwood springs,39.55,-107.32,79.0,23,90,4.7,US,1593809682
297,sobolevo,54.43,31.9,63.86,97,100,6.31,RU,1593809977
298,the valley,18.22,-63.06,87.8,66,20,14.99,AI,1593809978
299,katherine,-14.47,132.27,69.8,73,40,8.05,AU,1593809978
300,schwedt,53.06,14.28,64.0,63,95,4.05,DE,1593809978
301,vila velha,-20.33,-40.29,71.6,83,75,8.05,BR,1593809978
302,buraydah,26.33,43.98,93.2,24,0,3.36,SA,1593809770
303,chimichagua,9.26,-73.81,88.2,69,94,4.18,CO,1593809978
304,san patricio,19.22,-104.7,87.8,70,20,17.22,MX,1593809979
305,kahului,20.89,-156.47,82.4,65,40,13.87,US,1593809979
306,svetlogorsk,52.63,29.73,64.38,97,100,6.31,BY,1593809979
307,adrar,20.5,-10.07,99.81,8,0,3.65,MR,1593809979
308,port elizabeth,-33.92,25.57,50.0,93,0,4.7,ZA,1593809979
309,walvis bay,-22.96,14.51,71.6,26,0,12.75,NA,1593809980
310,san antero,9.37,-75.76,83.28,80,54,8.19,CO,1593809980
311,toora-khem,52.47,96.11,55.67,92,99,0.49,RU,1593809980
312,narsaq,60.92,-46.05,66.2,24,0,4.7,GL,1593809980
313,shingu,33.73,135.98,74.03,95,100,15.61,JP,1593809980
314,berekum,7.45,-2.58,73.04,94,79,6.85,GH,1593809981
315,aitape,-3.14,142.35,76.57,81,1,5.21,PG,1593809981
316,barra mansa,-22.54,-44.17,69.8,68,75,8.05,BR,1593809981
317,chokurdakh,70.63,147.92,40.64,81,100,17.54,RU,1593809981
318,tautira,-17.73,-149.15,82.4,74,40,8.05,PF,1593809981
319,hurghada,27.26,33.81,89.6,19,0,2.24,EG,1593809982
320,wad madani,14.4,33.52,90.0,38,40,12.24,SD,1593809982
321,navan,53.65,-6.68,62.6,93,75,9.17,IE,1593809794
322,birao,10.28,22.79,74.16,86,98,2.42,CF,1593809982
323,el alto,-4.27,-81.21,68.13,71,10,16.06,PE,1593809982
324,cockburn town,21.46,-71.14,87.8,70,40,9.17,TC,1593809982
325,cidreira,-30.18,-50.21,49.95,68,0,5.93,BR,1593809983
326,mareeba,-17.0,145.43,69.8,77,26,12.75,AU,1593809983
327,calabozo,8.92,-67.43,84.25,81,92,5.44,VE,1593809983
328,rovaniemi,66.5,25.72,48.2,87,75,9.17,FI,1593809983
329,southbridge,42.08,-72.03,68.0,95,100,7.58,US,1593809983
330,puqi,29.72,113.88,75.67,93,100,0.74,CN,1593809984
331,arica,-18.48,-70.3,64.4,68,36,9.17,CL,1593809984
332,aswan,24.09,32.91,88.66,12,0,7.7,EG,1593809984
333,kabansk,52.05,106.65,60.8,77,0,2.33,RU,1593809984
334,canutama,-6.53,-64.38,77.7,91,100,1.54,BR,1593809985
335,synya,65.37,58.04,53.46,90,8,4.92,RU,1593809985
336,acapulco,16.86,-99.89,87.8,58,20,5.82,MX,1593809893
337,beyneu,45.32,55.2,78.42,18,0,2.77,KZ,1593809985
338,vestmannaeyjar,63.44,-20.27,49.28,73,77,26.64,IS,1593809986
339,aksu,41.12,80.26,73.69,28,12,5.28,CN,1593809986
340,russell,32.35,-85.2,88.0,74,90,4.7,US,1593809986
341,waipawa,-41.41,175.52,50.0,81,5,10.29,NZ,1593809986
342,longyearbyen,78.22,15.64,42.8,87,75,8.05,SJ,1593809986
343,ulaangom,49.98,92.07,65.07,48,0,3.15,MN,1593809987
344,iquitos,-3.75,-73.25,84.2,70,40,5.82,PE,1593809899
345,raga,8.46,25.68,71.94,89,5,3.98,SS,1593809987
346,bermejillo,25.88,-103.62,93.2,34,20,6.93,MX,1593809987
347,lata,40.16,-8.33,64.99,67,0,3.0,PT,1593809987
348,lang son,21.83,106.73,75.24,92,99,1.36,VN,1593809976
349,vostok,46.49,135.88,57.97,76,1,4.12,RU,1593809988
350,sungaipenuh,-2.08,101.38,65.37,96,100,3.29,ID,1593809988
351,katsuura,35.13,140.3,72.0,100,75,8.05,JP,1593809988
352,saldanha,-33.01,17.94,51.8,81,0,5.82,ZA,1593809989
353,kamaishi,39.27,141.88,63.86,83,100,6.71,JP,1593809989
354,beringovskiy,63.05,179.32,43.9,89,99,14.14,RU,1593809989
355,alofi,-19.06,-169.92,73.4,78,99,14.99,NU,1593809989
356,coos bay,43.37,-124.22,72.0,63,90,11.41,US,1593809989
357,northam,51.03,-4.22,60.01,97,100,15.99,GB,1593809990
358,rawatsar,29.28,74.38,102.78,26,35,7.65,IN,1593809990
359,ponta do sol,32.67,-17.1,69.8,68,75,19.46,PT,1593809990
360,marienburg,54.04,19.03,60.01,100,20,3.36,PL,1593809990
361,mujiayingzi,42.12,118.78,62.92,84,93,7.47,CN,1593809991
362,fallon,39.47,-118.78,88.0,16,1,6.93,US,1593809991
363,novyy urengoy,66.08,76.63,58.89,95,100,14.88,RU,1593809991
364,lavrentiya,65.58,-171.0,50.58,64,25,6.17,RU,1593809991
365,berlevag,70.86,29.09,48.2,81,88,10.29,NO,1593809992
366,esperance,-33.87,121.9,46.4,100,26,10.29,AU,1593809992
367,cristalina,-16.77,-47.61,68.32,57,76,3.22,BR,1593809992
368,japura,-0.32,102.35,73.96,98,100,2.55,ID,1593809992
369,basoko,1.24,23.62,76.62,77,96,0.45,CD,1593809992
370,alugan,12.22,125.48,78.66,85,87,3.76,PH,1593809993
371,ilulissat,69.22,-51.1,51.8,53,0,4.7,GL,1593809993
372,korla,41.76,86.15,78.94,25,82,18.97,CN,1593809993
373,manbij,36.53,37.95,84.2,32,0,3.36,SY,1593809993
374,gat,31.61,34.76,80.01,72,0,1.5,IL,1593809993
375,canarana,-11.68,-41.77,74.16,52,100,6.64,BR,1593809994
376,sabzevar,36.21,57.68,71.01,21,0,11.18,IR,1593809994
377,arlit,18.74,7.39,94.21,9,14,14.92,NE,1593809994
378,rio grande,-32.03,-52.1,57.2,50,0,4.7,BR,1593809994
379,panguipulli,-39.63,-72.33,51.8,81,75,13.87,CL,1593809994
380,trofors,65.53,13.41,51.8,62,20,4.7,NO,1593809995
381,itarema,-2.92,-39.92,78.94,80,26,12.19,BR,1593809995
382,kelvington,52.17,-103.53,74.55,56,0,8.16,CA,1593809995
383,luau,-10.71,22.22,63.25,34,0,8.28,AO,1593809995
384,lugazi,0.38,32.92,73.4,73,20,9.17,UG,1593809995
385,karratha,-20.74,116.85,68.13,35,0,15.79,AU,1593809995
386,damaturu,11.75,11.96,80.78,71,100,20.22,NG,1593809996
387,aqtobe,50.28,57.21,64.4,59,0,2.24,KZ,1593809996
388,swidnik,51.22,22.7,66.2,93,100,6.93,PL,1593809996
389,tingi,-11.3,35.03,54.41,79,3,1.86,TZ,1593809996
390,tuy hoa,13.08,109.3,77.56,76,49,9.6,VN,1593809996
391,maningrida,-12.07,134.27,70.79,73,0,13.53,AU,1593809997
392,visnes,59.36,5.22,52.0,93,100,8.05,NO,1593809997
393,severo-yeniseyskiy,60.37,93.04,67.12,59,22,3.31,RU,1593809998
394,xining,36.62,101.77,50.18,80,16,3.06,CN,1593809998
395,san jose,37.34,-121.89,84.0,41,1,10.29,US,1593809807
396,colares,38.8,-9.45,64.0,72,20,23.04,PT,1593809998
397,khani,41.96,42.96,73.4,88,100,3.36,GE,1593809998
398,richards bay,-28.78,32.04,65.34,71,87,4.41,ZA,1593809999
399,razdolinsk,58.42,94.67,67.73,67,36,2.91,RU,1593809999
400,ransang,8.96,117.58,79.0,78,71,3.24,PH,1593809999
401,guerrero negro,27.98,-114.06,82.98,40,0,13.13,MX,1593809999
402,emba,48.83,58.14,70.32,70,0,6.78,KZ,1593809999
403,stulovo,58.72,50.14,58.82,92,100,3.11,RU,1593810000
404,koyelga,54.65,60.9,56.98,91,0,6.69,RU,1593810000
405,port blair,11.67,92.75,80.6,84,100,17.63,IN,1593810000
406,talnakh,69.49,88.4,59.0,58,83,13.42,RU,1593810000
407,puerto leguizamo,-0.19,-74.78,84.61,67,50,1.12,CO,1593810001
408,raudeberg,61.99,5.14,46.99,81,2,3.62,NO,1593810001
409,kenora,49.82,-94.43,87.8,55,40,10.29,CA,1593810001
410,pimentel,-6.84,-79.93,66.09,76,12,15.7,PE,1593810002
411,bodden town,19.28,-81.25,89.6,70,40,11.41,KY,1593810003
412,sovetskiy,61.36,63.58,56.14,72,93,2.62,RU,1593810003
413,hamilton,39.18,-84.53,91.99,38,20,3.36,US,1593809860
414,palmer,42.16,-72.33,72.0,94,90,6.93,US,1593810004
415,kalmunai,7.42,81.82,79.11,82,76,9.73,LK,1593810004
416,saint-francois,46.42,3.91,60.01,67,49,4.7,FR,1593810005
417,ponta delgada,37.73,-25.67,69.8,73,40,6.93,PT,1593810005
418,majene,-3.54,118.97,77.81,86,86,13.29,ID,1593810005
419,korhogo,9.45,-5.63,75.81,86,23,3.71,CI,1593810006
420,matanzas,23.04,-81.58,89.6,66,40,9.17,CU,1593809712
421,solwezi,-12.17,26.39,51.26,51,0,4.76,ZM,1593810006
422,olenegorsk,68.15,33.3,51.55,76,100,4.52,RU,1593810006
423,mitu,1.2,-70.17,84.7,66,63,1.32,CO,1593810007
424,ancud,-41.87,-73.82,45.0,93,90,11.41,CL,1593810007
425,hobyo,5.35,48.53,78.48,71,97,30.04,SO,1593810007
426,igrim,63.19,64.42,56.52,66,99,3.62,RU,1593810007
427,fandriana,-20.23,47.38,50.76,90,49,1.68,MG,1593810007
428,nizhneangarsk,55.78,109.55,57.79,72,2,1.14,RU,1593810008
429,marystown,47.17,-55.15,54.52,75,65,5.68,CA,1593810008
430,montepuez,-13.13,39.0,64.27,78,5,9.69,MZ,1593810008
431,bregenz,47.5,9.75,63.0,72,40,3.36,AT,1593810008
432,abnub,27.27,31.15,84.2,32,0,8.05,EG,1593810009
433,kamsack,51.57,-101.9,82.4,34,1,4.7,CA,1593810009
434,trinidad,-14.83,-64.9,75.2,53,20,6.93,BO,1593810009
435,olga,43.74,135.29,63.25,91,34,2.26,RU,1593810009
436,menongue,-14.66,17.69,52.11,49,0,5.86,AO,1593810010
437,ewa beach,21.32,-158.01,84.2,54,75,6.93,US,1593809755
438,tamandare,-8.76,-35.1,75.65,76,4,6.49,BR,1593810010
439,bac lieu,9.29,105.72,79.2,82,100,2.84,VN,1593810010
440,skibbereen,51.55,-9.27,59.0,93,75,11.41,IE,1593810010
441,yanam,16.73,82.22,79.63,86,100,7.7,IN,1593810010
442,miri,4.41,114.01,77.0,88,20,5.82,MY,1593809754
443,tondano,1.3,124.91,75.2,94,20,1.12,ID,1593810011
444,codrington,-38.27,141.97,50.65,91,87,9.4,AU,1593810011
445,yinchuan,38.47,106.27,61.97,79,100,1.07,CN,1593810011
446,tabou,4.42,-7.35,75.81,85,74,11.48,CI,1593810012
447,xixiang,35.16,112.86,77.0,1,100,3.22,CN,1593810012
448,san joaquin,10.26,-67.79,80.6,79,25,7.29,VE,1593810012
449,cervo,43.67,-7.41,55.99,86,52,1.74,ES,1593810012
450,gwadar,25.12,62.33,85.91,81,6,7.54,PK,1593810012
451,caravelas,-17.71,-39.25,73.2,87,0,4.54,BR,1593810013
452,changji,44.02,87.32,75.2,38,100,8.95,CN,1593810013
453,madang,-5.22,145.8,75.45,87,11,4.88,PG,1593810013
454,asfi,32.3,-9.24,68.5,76,0,17.94,MA,1593810013
455,bengkulu,-3.8,102.27,76.1,86,48,4.03,ID,1593810013
456,san juan,-31.54,-68.54,70.61,20,62,6.87,AR,1593809790
457,sioux lookout,50.1,-91.92,91.4,46,40,4.7,CA,1593810014
458,limoux,42.92,2.17,68.0,49,90,10.29,FR,1593810014
459,egvekinot,66.32,-179.17,46.89,62,18,3.69,RU,1593810014
460,bay roberts,47.6,-53.26,46.99,100,42,4.0,CA,1593810015
461,geraldton,-28.77,114.6,60.8,44,1,18.34,AU,1593810015
462,farnham,51.21,-0.8,57.99,87,75,20.8,GB,1593810015
463,lonevag,60.53,5.49,51.8,76,40,3.36,NO,1593810015
464,coihaique,-45.58,-72.07,41.0,65,20,4.7,CL,1593810015
465,carnot,4.94,15.87,71.17,88,97,1.72,CF,1593810015
466,tessalit,20.2,1.01,92.98,11,0,7.02,ML,1593810016
467,sitka,57.05,-135.33,57.2,76,75,12.75,US,1593810016
468,pisco,-13.7,-76.22,64.0,82,75,9.17,PE,1593810016
469,noumea,-22.28,166.46,68.0,93,40,2.24,NC,1593810017
470,shihezi,44.3,86.03,75.24,33,95,5.01,CN,1593810017
471,presidencia roque saenz pena,-26.79,-60.44,59.0,52,0,6.26,AR,1593810017
472,paita,-5.09,-81.11,68.0,71,1,16.2,PE,1593810017
473,dolzhanskaya,46.63,37.8,84.99,100,0,11.99,RU,1593810017
474,grand-santi,4.25,-54.38,78.3,94,84,3.36,GF,1593810017
475,bato,13.35,123.37,77.83,84,90,2.1,PH,1593810018
476,vagay,57.94,69.02,54.03,76,5,3.62,RU,1593810018
477,mgandu,-5.95,34.13,61.36,62,94,10.13,TZ,1593810018
478,tual,-5.67,132.75,80.08,81,84,25.37,ID,1593810018
479,oistins,13.07,-59.53,86.0,66,20,19.46,BB,1593810018
480,derzhavinsk,51.1,66.32,55.02,95,84,7.83,KZ,1593810019
481,chumikan,54.72,135.31,57.76,80,86,4.56,RU,1593810019
482,sechura,-5.56,-80.82,73.94,57,20,13.49,PE,1593810019
483,santa,17.49,120.43,78.71,84,3,4.94,PH,1593810019
484,astana,51.18,71.45,60.8,93,90,11.18,KZ,1593810020
485,la tuque,47.43,-72.78,82.63,25,30,5.57,CA,1593810009
486,tromso,69.65,18.96,50.0,61,100,4.7,NO,1593809842
487,dunedin,-45.87,170.5,46.0,86,100,1.01,NZ,1593810020
488,shache,38.42,77.24,77.61,18,97,6.4,CN,1593810020
489,la ronge,55.1,-105.28,78.8,39,20,11.41,CA,1593810020
490,singaraja,-8.11,115.09,76.39,73,5,3.2,ID,1593810021
491,kaitangata,-46.28,169.85,45.0,70,100,3.0,NZ,1593810021
492,allapalli,19.42,80.07,79.61,86,100,5.73,IN,1593810021
493,neepawa,50.23,-99.47,84.2,51,40,8.05,CA,1593810021
494,port shepstone,-30.74,30.45,59.04,76,27,8.05,ZA,1593810022
495,yarada,17.65,83.27,84.06,77,100,11.7,IN,1593810022
496,gerash,27.67,54.14,91.4,26,0,4.07,IR,1593810022
497,athabasca,54.72,-113.29,69.58,57,1,11.68,CA,1593810007
498,haines junction,60.75,-137.51,72.23,23,99,3.56,CA,1593810022
499,kargasok,59.06,80.86,60.13,97,80,6.33,RU,1593810023
500,bolgatanga,10.79,-0.85,84.67,62,65,5.17,GH,1593810023
501,sao paulo de olivenca,-3.38,-68.87,80.33,77,97,2.95,BR,1593810023
502,shahdadkot,27.85,67.91,101.57,30,64,17.85,PK,1593810023
503,tomari,47.77,142.07,60.53,77,0,19.28,RU,1593810023
504,sanford,28.8,-81.27,91.0,62,1,11.41,US,1593809736
505,chipinge,-20.19,32.62,52.32,70,0,3.94,ZW,1593810024
506,dogondoutchi,13.64,4.03,98.56,30,44,11.27,NE,1593810024
507,thanh hoa,19.8,105.77,80.1,88,100,2.53,VN,1593810024
508,pangnirtung,66.15,-65.71,48.2,70,20,13.87,CA,1593810024
509,camacha,33.08,-16.33,68.0,68,40,10.29,PT,1593810024
510,mnogovershinnyy,53.94,139.92,59.63,91,89,6.04,RU,1593810025
511,kukshi,22.2,74.75,81.45,76,91,8.05,IN,1593810025
512,deputatskiy,69.3,139.9,38.53,89,100,6.76,RU,1593810025
513,bintulu,3.17,113.03,75.2,94,40,6.93,MY,1593810025
514,hukuntsi,-24.0,21.75,52.93,40,0,8.68,BW,1593810025
515,mankono,8.06,-6.19,74.84,90,71,4.29,CI,1593810026
516,meulaboh,4.14,96.13,79.29,83,99,3.71,ID,1593810026
517,florianopolis,-27.61,-48.5,57.2,54,0,9.17,BR,1593809728
518,boende,-0.22,20.87,79.5,66,72,1.72,CD,1593810026
519,tubuala,9.52,-79.03,87.8,70,40,8.05,PA,1593810027
520,porto-vecchio,41.59,9.28,75.2,60,0,12.75,FR,1593810027
521,iranduba,-3.28,-60.19,78.8,88,75,2.24,BR,1593810027
522,nouadhibou,20.93,-17.03,69.8,83,17,17.22,MR,1593810027
523,hastings,50.86,0.57,60.8,87,97,23.04,GB,1593809820
524,churachandpur,24.33,93.67,70.65,98,100,0.58,IN,1593810028
525,salinopolis,-0.61,-47.36,81.25,79,90,9.98,BR,1593810028
526,bonavista,48.65,-53.11,46.99,84,78,5.99,CA,1593810028
527,teya,60.38,92.63,67.37,59,6,2.17,RU,1593810029
528,vila do maio,15.13,-23.22,80.6,69,20,11.41,CV,1593810029
529,kissamos,35.49,23.66,81.0,94,0,5.82,GR,1593810029
530,panaba,21.28,-88.27,83.53,79,90,8.23,MX,1593810029
531,konstantinovskiy,57.83,39.59,68.0,94,99,4.83,RU,1593810029
532,pangody,65.85,74.49,57.51,96,99,13.35,RU,1593810030
533,mayor pablo lagerenza,-19.93,-60.77,61.79,52,100,2.13,PY,1593810030
534,sambava,-14.27,50.17,72.52,77,76,10.4,MG,1593810030
535,zhigansk,66.77,123.37,48.29,63,87,17.25,RU,1593810030
536,salalah,17.02,54.09,82.4,88,90,8.05,OM,1593810031
537,shaunavon,49.65,-108.42,81.03,30,0,9.13,CA,1593810031
538,minab,27.15,57.08,93.2,75,0,6.93,IR,1593810031
539,nampula,-15.12,39.27,66.2,82,0,8.05,MZ,1593810031
540,tutoia,-2.76,-42.27,80.28,81,87,8.95,BR,1593810031
541,cayenne,4.93,-52.33,84.2,74,80,6.93,GF,1593810031
542,phalaborwa,-23.94,31.14,60.8,77,0,4.7,ZA,1593810032
543,kupang,-10.17,123.58,76.48,81,87,15.37,ID,1593810032
544,sur,22.57,59.53,84.92,75,1,13.15,OM,1593810032
545,khanna,30.7,76.22,91.18,48,0,16.04,IN,1593810032
546,bela,25.93,81.98,89.85,62,57,6.2,IN,1593810032
547,zykovo,55.95,93.15,71.6,73,40,6.71,RU,1593810033
548,hervey bay,-25.3,152.85,59.0,86,47,5.99,AU,1593810033
549,muroto,33.28,134.15,77.4,89,100,25.86,JP,1593810033
550,kikwit,-5.04,18.82,78.22,41,23,2.37,CD,1593810033
551,springdale,36.19,-94.13,91.99,49,40,6.93,US,1593810033
552,makakilo city,21.35,-158.09,84.2,54,75,6.93,US,1593810034
553,pointe-noire,-4.78,11.86,75.2,88,75,3.36,CG,1593810034
554,ipira,-12.16,-39.74,74.32,62,64,6.33,BR,1593809860
555,montlucon,46.33,2.6,60.01,75,57,4.0,FR,1593810034
556,cap malheureux,-19.98,57.61,69.01,72,96,8.01,MU,1593810034
557,collie,-33.37,116.15,48.99,64,64,7.96,AU,1593810035
558,alamosa,37.47,-105.87,84.2,28,1,5.82,US,1593809898
559,college,64.86,-147.8,66.99,52,40,6.8,US,1593810035
560,myaundzha,63.05,147.19,50.72,62,100,4.0,RU,1593810035
561,dalbandin,28.89,64.41,90.18,11,0,9.98,PK,1593810035
562,pandan,14.05,124.17,79.66,83,52,5.26,PH,1593810036
563,qaqortoq,60.72,-46.03,66.2,24,0,4.7,GL,1593810036
564,euclides da cunha,-10.51,-39.02,70.03,78,26,4.16,BR,1593810036
565,freeport,40.66,-73.58,91.4,43,75,3.36,US,1593810013
566,kremnica,48.71,18.92,68.0,64,51,6.93,SK,1593810036
567,galle,6.04,80.22,79.7,83,100,9.6,LK,1593809799
568,turgoyak,55.15,60.12,55.04,93,0,4.0,RU,1593810037
569,tonj,7.27,28.68,74.17,79,42,5.14,SS,1593810037
570,saint-joseph,-21.37,55.62,66.2,68,20,10.29,RE,1593810037
571,tiarei,-17.53,-149.33,82.4,74,40,8.05,PF,1593810038
572,imeni poliny osipenko,52.42,136.49,63.16,86,48,6.35,RU,1593810038
573,ptuj,46.42,15.87,60.8,87,79,2.24,SI,1593810038
574,lermontovka,47.15,134.34,63.21,88,5,8.08,RU,1593810038
575,riyadh,24.69,46.72,95.0,16,5,4.7,SA,1593809819
576,nerchinskiy zavod,51.31,119.61,60.21,67,21,1.36,RU,1593810039
577,upata,8.01,-62.4,80.8,72,7,8.28,VE,1593810039
578,maniitsoq,65.42,-52.9,46.27,78,98,10.27,GL,1593810039
579,esil,51.96,66.4,56.8,90,89,6.91,KZ,1593810039
580,pringsewu,-5.36,104.97,73.09,93,88,0.65,ID,1593810040
581,kendari,-3.94,122.5,73.24,93,100,3.85,ID,1593810040
